site,site_utm_zone,site_utme,site_utmn,area_sqr_m,site_code,site_elevation_m,depth_m,topo,wilderness,site_comments,site_id,region_id,site_name_alt,site_latitude,site_longitude,geographic_area,geographic_area_type,region,country_id,time_zone,rm,pop_id
"82643",10,748353,4303709,"232",NA,"2530",NA,pyramid_peak,desolation,NA,0e66b199-9afc-4f03-874c-c22a5a262a55,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.8471687274346,-120.13831209063,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"82644",10,748298,4303762,"279",NA,"2542",NA,pyramid_peak,desolation,NA,10d78a9f-7d14-48f5-a5c3-5aeac6172d67,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.8476612644396,-120.138925979672,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"82645",10,748093,4304243,"367",NA,"2518",NA,pyramid_peak,desolation,NA,b9f6291b-d03c-4706-b170-b7df075c5027,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.8520482469426,-120.141111984912,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"82646",10,747999,4304363,"245",NA,"2505",NA,pyramid_peak,desolation,NA,9a805357-0883-4106-b9c5-4e2d9e5caa81,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.8531547877485,-120.142150680986,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"84221",10,746369,4305484,"2915",NA,"2545",NA,pyramid_peak,desolation,NA,428a0923-65e0-4ea6-94ec-eb75a3938e01,9d979cf0-9264-439b-9e04-1fc725acb7cd,"""rivendell pond""",38.8637022591526,-120.160511135277,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"84243",10,747174,4305205,"963",NA,"2481",NA,pyramid_peak,desolation,NA,7bb23c55-e7d1-4be9-a1e2-0bfaaf1a80cc,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.86096528697,-120.151344165397,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"84277",10,748046,4304562,"18942",NA,"2481",NA,pyramid_peak,desolation,NA,e720748c-45cc-43ee-9bc6-7b842721c67a,9d979cf0-9264-439b-9e04-1fc725acb7cd,waca lake,38.8549326074059,-120.141537948751,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"84284",10,748227,4304529,"399",NA,"2505",NA,pyramid_peak,desolation,NA,7ba2f4ed-5ec2-49a8-ac0d-c145a2362ea9,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.8545845486486,-120.139466444969,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"84292",10,748087,4304318,"2087",NA,"2481",NA,pyramid_peak,desolation,NA,47fed1e8-0412-4f47-a9b6-779b19ef71b2,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.8527249643491,-120.141154002313,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
"84294",10,748135,4304281,"909",NA,"2481",NA,pyramid_peak,desolation,NA,66fc4716-c19e-4715-a3e6-5c1199ac9e9c,9d979cf0-9264-439b-9e04-1fc725acb7cd,NA,38.852378416691,-120.140614856312,american_pyramid_ck,drainage,california,1d81de17-d17f-46b7-aa89-f31200ea592d,America/Los_Angeles,false,84309
