"id","visit_date","survey_type","species","capture_life_stage","length","weight","bd_load","sample_id"
72996,2005-07-25,cmr,ramu,adult,48,12,2640.0,RKS1988
70550,2014-06-24,cmr,ramu,adult,64,27,4752.0,RKS17000
10101,2015-08-27,cmr,ramu,adult,48,10,3149383.68,RKS19795
84309,2014-06-19,cmr,ramu,adult,53,14,9840.0,DESO1973
70550,2015-08-04,cmr,ramu,adult,57,19,10277.76,RKS19337
10314,2006-08-26,swab,ramu,adult,50,11,1008.0,RKS4468
12503,2009-09-11,swab,ramu,adult,46,12,528.0,RKS9312
72996,2007-08-29,cmr,ramu,adult,50,10,71616.0,RKS6023
11987,2007-07-23,swab,ramu,adult,58,19,288.0,RKS5326
70505,2008-07-24,cmr,ramu,adult,60,22,38064.0,RKS6469
10316,2006-08-26,swab,ramu,adult,41,12,115728.0,RKS4509
72996,2010-07-21,swab,ramu,adult,52,11,228960.0,RKS10048
10100,2015-09-14,cmr,ramu,adult,69,34,43860.48,RKS20522
10091,2007-07-26,swab,ramu,adult,43,7,48.0,RKS5339
50219,2010-08-25,cmr,ramu,adult,43,8,1200.0,RKS11233
72996,2005-07-25,cmr,ramu,adult,46,10,2880.0,RKS1934
72996,2007-07-30,cmr,ramu,adult,53,13,912.0,RKS5852
70505,2015-07-20,cmr,ramu,adult,51,14,3133.44,RKS18855
70550,2006-08-13,cmr,ramu,adult,65,31,1104.0,RKS1226
50183,2010-09-07,swab,ramu,adult,43,7,2332368.0,CBSX011
11530,2006-08-16,swab,ramu,adult,63,26,48.0,RKS4371
72996,2013-06-16,swab,ramu,adult,48,10,3888.0000000000005,RKS15823
72996,2006-09-28,cmr,ramu,adult,52,15,672.0000000000001,RKS4099
10102,2016-08-03,cmr,ramu,adult,42,8,27840.68,RKS21690
72996,2006-08-20,cmr,ramu,adult,53,13,10128.0,RKS2421
10101,2015-08-27,cmr,ramu,adult,51,13,913196.16,RKS19786
10100,2015-09-10,cmr,ramu,adult,49,13,3952633.44,RKS20398
11858,2015-08-25,cmr,ramu,adult,50,13,1181479.68,RKS19962
10267,2006-09-01,swab,ramu,adult,64,28,48.0,RKS4566
84235,2015-06-01,cmr,ramu,adult,54,18,110471.52,DESO2105
72996,2011-08-21,swab,ramu,adult,53,15,26928.0,RKS13019
10100,2015-09-10,cmr,ramu,adult,52,16,2092803.84,RKS20396
10215,2009-09-10,swab,ramu,adult,47,10,48.0,RKS9433
72996,2005-08-29,cmr,ramu,adult,50,16,26880.0,RKS2262
52265,2009-07-02,swab,ramu,adult,51,14,480.0,RKS7483
50194,2010-08-24,cmr,ramu,adult,43,8,60960.0,RKS11152
72996,2005-08-29,cmr,ramu,adult,51,14,273168.0,RKS1426
70550,2014-09-07,cmr,ramu,adult,52,14,1248.0,RKS18074
72996,2005-07-25,cmr,ramu,adult,42,6,240.0,RKS2019
10599,2007-07-22,swab,ramu,adult,42,8,4747920.0,RKS5827
72996,2006-08-07,cmr,ramu,adult,46,9,9743.999999999998,RKS2521
10100,2015-09-14,cmr,ramu,adult,63,23,4822480.0,RKS20523
84309,2013-06-20,cmr,ramu,adult,57,19,14496.0,DESO1079
12590,2016-08-03,cmr,ramu,adult,50,14,235283.208,RKS21742
10101,2015-08-25,cmr,ramu,adult,53,17,2481033.12,RKS19738
70413,2013-09-08,cmr,ramu,adult,62,26,192.0,YFS217
70550,2016-07-13,cmr,ramu,adult,40,7,137062.592,RKS21399
72336,2015-08-14,cmr,ramu,adult,61,28,85104.48,RKS18701
10102,2016-08-03,cmr,ramu,adult,61,22,7532.856,RKS21692
70449,2015-08-14,cmr,ramu,adult,66,29,1920.0,RKS19410
11858,2015-08-26,cmr,ramu,adult,61,21,7283528.64,RKS20328
70550,2007-07-31,cmr,ramu,adult,53,16,4464.0,RKS5893
72996,2012-08-30,swab,ramu,adult,42,7,98592.0,RKS15465
50133,2010-08-23,swab,ramu,adult,58,24,206784.0,RKS11105
10100,2015-09-09,cmr,ramu,adult,65,28,10433249.28,RKS19830
70550,2016-07-12,cmr,ramu,adult,59,22,634843.08,RKS21369
72808,2016-07-06,cmr,ramu,adult,62,32,11046.936,RKS21252
72996,2007-08-29,cmr,ramu,adult,56,15,12336.0,RKS5994
84221,2013-08-23,cmr,ramu,adult,52,14,144.0,DESO1475
10220,2009-09-12,swab,ramu,adult,54,16,48.0,RKS9460
72996,2005-07-25,cmr,ramu,adult,46,10,912.0,RKS2169
70563,2009-07-11,swab,ramu,adult,62,20,336.00000000000006,RKS7463
70550,2015-08-06,cmr,ramu,adult,58,24,149142.72,RKS19395
84309,2014-08-07,cmr,ramu,adult,59,23,4272.0,DESO2437
72808,2015-08-15,cmr,ramu,adult,53,19,10376.64,RKS18722
70397,2006-07-27,swab,ramu,adult,55,23,2544.0,RKS2822
72808,2015-06-12,cmr,ramu,adult,51,16,2880.0,RKS18198
84221,2013-06-19,cmr,ramu,adult,48,12,336.00000000000006,DESO1007
10102,2016-08-03,cmr,ramu,adult,53,16,78956.232,RKS21686
72996,2005-08-29,cmr,ramu,adult,56,18,136848.0,RKS2284
72990,2008-07-24,swab,ramu,adult,46,10,960.0,RKS6431
74269,2009-09-03,swab,ramu,adult,40,8,22512.000000000004,RKS8661
72996,2007-06-01,swab,ramu,adult,53,10,7871.999999999999,RKS2547
12640,2005-09-03,swab,ramu,adult,31,4,1001568.0,RKS3070
10101,2015-08-26,cmr,ramu,adult,44,10,5121600.0,RKS19774
84309,2013-08-22,cmr,ramu,adult,41,8,4560.0,DESO1479
84221,2014-09-09,cmr,ramu,adult,51,17,1488.0,DESO2668
20192,2011-08-12,swab,ramu,adult,56,20,67632.0,RKS12432
74141,2010-07-01,swab,ramu,adult,46,11,1652592.0,RKS9724
72336,2015-08-14,cmr,ramu,adult,59,22,1077.12,RKS18686
11858,2016-08-05,cmr,ramu,adult,46,11,20908.184,RKS21640
11858,2015-08-25,cmr,ramu,adult,51,15,71493840,RKS19975
12618,2012-08-27,swab,ramu,adult,44,10,240.0,RKS15166
70505,2008-08-12,cmr,ramu,adult,46,11,129408.0,RKS6764
72996,2007-07-30,cmr,ramu,adult,53,12,3984.0,RKS5854
72996,2009-07-03,cmr,ramu,adult,50,12,672.0000000000001,RKS7406
70736,2008-07-31,swab,ramu,adult,41,8,8208.0,RKS6716
70563,2008-07-31,swab,ramu,adult,50,14,1872.0,RKS6729
10101,2015-09-11,cmr,ramu,adult,47,9,8640.0,RKS19849
72996,2006-07-17,cmr,ramu,adult,58,15,3120.0,RKS3591
11858,2015-08-25,cmr,ramu,adult,64,28,1082160.0,RKS19984
72996,2006-07-17,cmr,ramu,adult,48,10,1776.0,RKS3774
84277,2013-07-25,cmr,ramu,adult,40,7,3504.0,DESO1320
11858,2012-08-26,swab,ramu,adult,49,13,960.0,RKS15077
10101,2015-08-24,cmr,ramu,adult,43,7,35944720,RKS18618
84221,2014-07-17,cmr,ramu,adult,45,11,48.0,DESO2055
84309,2013-08-22,cmr,ramu,adult,68,45,48.0,DESO1533
70413,2015-08-02,cmr,ramu,adult,57,19,720.0,RKS18849
72808,2015-08-14,cmr,ramu,adult,43,10,408589.92,RKS18711
70550,2014-07-15,cmr,ramu,adult,46,14,14784.0,RKS17656
70550,2015-08-05,cmr,ramu,adult,64,38,5569.44,RKS19367
84221,2014-06-17,cmr,ramu,adult,47,12,1056.0,DESO1889
10244,2006-09-11,swab,ramu,adult,45,9,48.0,RKS4823
70550,2016-07-13,cmr,ramu,adult,59,22,430587.168,RKS21377
10090,2010-09-16,swab,ramu,adult,69,28,288.0,RKS12162
72996,2006-07-17,cmr,ramu,adult,48,9,2256.0,RKS3572
70413,2015-07-07,cmr,ramu,adult,57,24,73583.52,RKS17948
70550,2007-07-31,cmr,ramu,adult,58,25,129744.0,RKS5892
70134,2007-05-28,cmr,ramu,adult,55,15,196080.0,RKS4909
70550,2014-07-14,cmr,ramu,adult,52,16,5088.0,RKS17630
10101,2012-07-03,swab,ramu,adult,50,10,240.0,RKS14363
10223,2007-06-27,swab,ramu,adult,40,4,2437392.0,RKS4121
72996,2006-08-20,swab,ramu,adult,47,10,9360.0,RKS2468
11495,2010-07-30,swab,ramu,adult,56,24,624.0,RKS10277
72808,2016-07-06,cmr,ramu,adult,53,18,1485.952,RKS21284
72996,2008-07-15,cmr,ramu,adult,50,12,3408.0,RKS6313
72996,2009-08-16,cmr,ramu,adult,54,18,144.0,RKS7987
10319,2006-08-27,swab,ramu,adult,48,9,2064143.9999999998,RKS4490
70550,2006-08-31,cmr,ramu,adult,46,12,624.0,RKS3939
10197,2010-07-14,swab,ramu,adult,58,20,144.0,RKS9936
11858,2015-08-26,cmr,ramu,adult,46,9,137520.0,RKS20326
70550,2013-08-28,cmr,ramu,adult,48,15,4656.0,USGS1719
70134,2006-08-16,cmr,ramu,adult,56,18,624.0,RKS3202
10037,2012-08-01,swab,ramu,adult,56,19,55728.0,RKS14640
70550,2015-08-05,cmr,ramu,adult,48,13,1981.92,RKS19374
84221,2013-09-11,cmr,ramu,adult,49,14,2256.0,DESO1673
72996,2008-09-06,cmr,ramu,adult,51,12,9312.0,RKS7260
84309,2013-08-23,cmr,ramu,adult,48,14,576.0,DESO1493
10102,2015-08-27,cmr,ramu,adult,49,9,98617040,RKS20201
10102,2015-08-26,cmr,ramu,adult,50,11,5814960.0,RKS19932
70505,2014-08-09,cmr,ramu,adult,54,17,6960.0,RKS18018
10230,2007-06-28,swab,ramu,adult,64,29,672.0000000000001,RKS5144
10267,2006-09-01,swab,ramu,adult,64,28,384.0,RKS4566
50194,2010-09-14,swab,ramu,adult,48,10,615840.0,RKS11798
72953,2008-07-09,swab,ramu,adult,82,82,25392.0,RKS6400
10285,2015-07-01,cmr,ramu,adult,60,23,988.8,RKS18211
